:%s/<Ctrl-V><Ctrl-M>/\r/g
game_id,week,road_team,home_team,game_date,game_time,road_pts,home_pts,final,winner
187,13,LAR,ARI,2000-01-01,23:59,0,0,0,""
188,13,NE,LAC,2000-01-01,23:59,0,0,0,""
189,13,NO,ATL,2000-01-01,23:59,0,0,0,""
190,13,NYG,SEA,2000-01-01,23:59,0,0,0,""
191,13,PHI,GB,2000-01-01,23:59,0,0,0,""
192,13,WSH,PIT,2000-01-01,23:59,0,0,0,""
193,14,ARI,NYG,2000-01-01,23:59,0,0,0,""
194,14,ATL,LAC,2000-01-01,23:59,0,0,0,""
195,14,BAL,CLE,2000-01-01,23:59,0,0,0,""
196,14,DAL,CIN,2000-01-01,23:59,0,0,0,""
197,14,DEN,CAR,2000-01-01,23:59,0,0,0,""
198,14,GB,DET,2000-01-01,23:59,0,0,0,""
199,14,HOU,CHI,2000-01-01,23:59,0,0,0,""
200,14,IND,LV,2000-01-01,23:59,0,0,0,""
201,14,KC,MIA,2000-01-01,23:59,0,0,0,""
202,14,MIN,TB,2000-01-01,23:59,0,0,0,""
203,14,NE,LAR,2000-01-01,23:59,0,0,0,""
204,14,NO,PHI,2000-01-01,23:59,0,0,0,""
205,14,NYJ,SEA,2000-01-01,23:59,0,0,0,""
206,14,PIT,BUF,2000-01-01,23:59,0,0,0,""
207,14,TEN,JAX,2000-01-01,23:59,0,0,0,""
208,14,WSH,SF,2000-01-01,23:59,0,0,0,""
209,15,BUF,DEN,2000-01-01,23:59,0,0,0,""
210,15,CAR,GB,2000-01-01,23:59,0,0,0,""
211,15,CHI,MIN,2000-01-01,23:59,0,0,0,""
212,15,CLE,NYG,2000-01-01,23:59,0,0,0,""
213,15,DET,TEN,2000-01-01,23:59,0,0,0,""
214,15,HOU,IND,2000-01-01,23:59,0,0,0,""
215,15,JAX,BAL,2000-01-01,23:59,0,0,0,""
216,15,KC,NO,2000-01-01,23:59,0,0,0,""
217,15,LAC,LV,2000-01-01,23:59,0,0,0,""
218,15,NE,MIA,2000-01-01,23:59,0,0,0,""
219,15,NYJ,LAR,2000-01-01,23:59,0,0,0,""
220,15,PHI,ARI,2000-01-01,23:59,0,0,0,""
221,15,PIT,CIN,2000-01-01,23:59,0,0,0,""
222,15,SF,DAL,2000-01-01,23:59,0,0,0,""
223,15,SEA,WSH,2000-01-01,23:59,0,0,0,""
224,15,TB,ATL,2000-01-01,23:59,0,0,0,""
225,16,ATL,KC,2000-01-01,23:59,0,0,0,""
226,16,BUF,NE,2000-01-01,23:59,0,0,0,""
227,16,CAR,WSH,2000-01-01,23:59,0,0,0,""
228,16,CHI,JAX,2000-01-01,23:59,0,0,0,""
229,16,CIN,HOU,2000-01-01,23:59,0,0,0,""
230,16,CLE,NYJ,2000-01-01,23:59,0,0,0,""
231,16,DEN,LAC,2000-01-01,23:59,0,0,0,""
232,16,IND,PIT,2000-01-01,23:59,0,0,0,""
233,16,LAR,SEA,2000-01-01,23:59,0,0,0,""
234,16,MIA,LV,2000-01-01,23:59,0,0,0,""
235,16,MIN,NO,2000-01-01,23:59,0,0,0,""
236,16,NYG,BAL,2000-01-01,23:59,0,0,0,""
237,16,PHI,DAL,2000-01-01,23:59,0,0,0,""
238,16,SF,ARI,2000-01-01,23:59,0,0,0,""
239,16,TB,DET,2000-01-01,23:59,0,0,0,""
240,16,TEN,GB,2000-01-01,23:59,0,0,0,""
241,17,ARI,LAR,2000-01-01,23:59,0,0,0,""
242,17,ATL,TB,2000-01-01,23:59,0,0,0,""
243,17,BAL,CIN,2000-01-01,23:59,0,0,0,""
244,17,DAL,NYG,2000-01-01,23:59,0,0,0,""
245,17,GB,CHI,2000-01-01,23:59,0,0,0,""
246,17,JAX,IND,2000-01-01,23:59,0,0,0,""
247,17,LV,DEN,2000-01-01,23:59,0,0,0,""
248,17,LAC,KC,2000-01-01,23:59,0,0,0,""
249,17,MIA,BUF,2000-01-01,23:59,0,0,0,""
250,17,MIN,DET,2000-01-01,23:59,0,0,0,""
251,17,NO,CAR,2000-01-01,23:59,0,0,0,""
252,17,NYJ,NE,2000-01-01,23:59,0,0,0,""
253,17,PIT,CLE,2000-01-01,23:59,0,0,0,""
254,17,SEA,SF,2000-01-01,23:59,0,0,0,""
255,17,TEN,HOU,2000-01-01,23:59,0,0,0,""
256,17,WSH,PHI,2000-01-01,23:59,0,0,0,""
